record,cmis,n_with,n_without,is_poison
fixed_5_4,0.9183673469387755,2,79,True
fixed_2_4,0.9,1,80,True
inject_5,0.9,1,80,True
fixed_6_4,0.9,1,80,True
fixed_5_3,0.6037740766804807,3,78,True
fixed_2_2,0.593121693121693,3,78,True
fixed_2_3,0.593121693121693,3,78,True
fixed_5_2,0.593121693121693,3,78,True
fixed_6_2,0.593121693121693,3,78,True
fixed_6_3,0.5922094508301405,2,79,True
fixed_3_4,0.2761096775875101,3,78,True
fixed_3_1,0.08333333333333336,6,75,True
fixed_2_1,0.07999999999999995,5,76,True
fixed_2_0,0.07999999999999995,5,76,True
fixed_3_2,0.07407407407407408,3,78,True
fixed_3_3,0.07407407407407408,3,78,True
fixed_5_1,0.07407407407407408,3,78,True
fixed_3_0,0.07407407407407408,3,78,True
fixed_6_1,0.0714285714285714,2,79,True
fixed_4_1,0.0714285714285714,2,79,True
fixed_6_0,0.06896551724137932,1,80,True
fixed_4_2,0.06896551724137932,1,80,True
fixed_5_0,0.06896551724137932,1,80,True
fixed_1_3,-0.02427983539094647,11,70,True
fixed_0_219,-0.02766754850088186,5,76,False
fixed_1_1,-0.04006046863189722,12,69,True
fixed_1_2,-0.04188552188552187,9,72,True
fixed_1_0,-0.046233308138070035,8,73,True
fixed_0_169,-0.08239372377303412,17,64,False
fixed_0_15,-0.10424841292627685,11,70,False
fixed_0_161,-0.12,1,80,False
fixed_0_104,-0.12,1,80,False
fixed_0_206,-0.12,1,80,False
fixed_0_229,-0.12,1,80,False
fixed_4_3,-0.12,1,80,True
fixed_0_232,-0.12,1,80,False
fixed_0_218,-0.12244897959183675,2,79,False
fixed_0_203,-0.12244897959183675,2,79,False
fixed_0_18,-0.12244897959183675,2,79,False
inject_3,-0.12244897959183675,2,79,True
fixed_0_244,-0.125,3,78,False
fixed_0_200,-0.125,3,78,False
fixed_0_283,-0.1276595744680851,4,77,False
fixed_0_123,-0.13636363636363635,7,74,False
inject_1,-0.23237667682112126,20,61,True
fixed_0_243,-0.41801798315208283,19,62,False
fixed_0_19,-0.44754606823572346,10,71,False
