record,degree,disagreement,is_poison
fixed_0_285,3,1.0,False
fixed_0_91,1,1.0,False
fixed_5_3,26,0.8846153846153846,True
fixed_5_2,24,0.875,True
fixed_5_0,23,0.8695652173913043,True
fixed_5_1,23,0.8695652173913043,True
fixed_4_2,23,0.8260869565217391,True
fixed_4_1,23,0.8260869565217391,True
fixed_4_3,23,0.8260869565217391,True
fixed_4_0,23,0.8260869565217391,True
fixed_2_2,23,0.7391304347826086,True
fixed_2_0,22,0.7272727272727273,True
fixed_2_3,24,0.7083333333333334,True
fixed_2_1,24,0.7083333333333334,True
fixed_6_1,23,0.6956521739130435,True
fixed_6_3,23,0.6956521739130435,True
fixed_6_2,23,0.6956521739130435,True
fixed_3_0,22,0.6818181818181818,True
fixed_3_1,22,0.6818181818181818,True
fixed_0_53,3,0.6666666666666666,False
fixed_3_3,24,0.6666666666666666,True
fixed_3_2,24,0.6666666666666666,True
fixed_0_75,3,0.6666666666666666,False
fixed_1_0,24,0.625,True
fixed_1_2,24,0.625,True
fixed_1_1,24,0.625,True
fixed_1_3,24,0.625,True
fixed_4_4,10,0.6,True
fixed_0_161,4,0.5,False
fixed_0_181,2,0.5,False
fixed_0_2,4,0.5,False
fixed_6_4,9,0.4444444444444444,True
fixed_1_4,9,0.2222222222222222,True
fixed_0_256,1,0.0,False
fixed_0_42,1,0.0,False
fixed_0_72,1,0.0,False
inject_1,5,0.0,True
fixed_0_101,0,,False
fixed_0_173,0,,False
fixed_0_195,0,,False
fixed_0_25,0,,False
fixed_0_250,0,,False
fixed_0_280,0,,False
fixed_0_283,0,,False
fixed_0_61,0,,False
