num_benign,seed,n,trigger_prev,pooled_rd,pooled_logit_poison,pooled_logit_trigger,regime_rd,pcmci_blind,pcmci_regime
10,0,74,0.8648648648648649,0.6586021505376344,3.581473523817398,3.3301810003590737,0.782051282051282,True,False
10,1,74,0.8648648648648649,0.6935687263556116,3.978507876843832,3.3709367670945984,0.8012820512820512,False,True
10,2,74,0.8648648648648649,0.5182849936948297,1.7989143939879235,4.999724638341974,0.6217948717948718,False,False
10,3,74,0.8648648648648649,0.5134408602150538,1.8695299306431858,4.592653137577414,0.6282051282051282,False,False
10,4,74,0.8648648648648649,0.519047619047619,2.0551153764374877,5.417753217682382,0.6319758672699849,False,False
30,0,94,0.6808510638297872,0.477027027027027,4.131995393475999,6.220166782800086,0.7292517006802721,False,False
30,1,94,0.6808510638297872,0.5081081081081081,4.0311688332495565,7.493321452652048,0.8125,False,True
30,2,94,0.6808510638297872,0.5902255639097744,2.73704328036285,2.814762105456385,0.7424242424242424,False,False
30,3,94,0.6808510638297872,0.39191671769748926,2.4222529704641316,5.11552215513713,0.5833333333333334,False,False
30,4,94,0.6808510638297872,0.47975553857906794,4.882734418704468,5.063899541171634,0.7285067873303167,False,True
80,0,144,0.4444444444444444,0.36816116926723286,2.491973945071426,3.706697384833366,0.6515151515151516,True,False
80,1,144,0.4444444444444444,0.3387836490528415,1.7377062352191808,3.550976832384926,0.5954545454545455,False,False
80,2,144,0.4444444444444444,0.31153846153846154,3.31833762863995,4.552882702530325,0.6835748792270531,False,False
80,3,144,0.4444444444444444,0.360458226348015,2.103544977581049,5.493063671739214,0.6988335100742311,False,False
80,4,144,0.4444444444444444,0.30234933605720127,2.4801969760337883,4.530867055663481,0.6234772978959026,False,False
150,0,214,0.29906542056074764,0.44603356216628526,3.780233990914291,3.687408844706134,0.7179215270413575,False,False
150,1,214,0.29906542056074764,0.3216282320055905,1.8562879301022843,3.9397674395737816,0.7641196013289036,False,False
150,2,214,0.29906542056074764,0.3259461924304605,2.165152867358436,3.7567109354020336,0.6904761904761905,False,False
150,3,214,0.29906542056074764,0.41627543035993736,2.562082586166378,3.909622681439224,0.7817460317460317,False,False
150,4,214,0.29906542056074764,0.4370136905348173,1.1688913940064345,1.9835900113172384,0.7774358974358975,False,False
300,0,364,0.17582417582417584,0.29426338860301127,1.5154102060198478,3.2728824000147814,0.7267267267267268,False,False
300,1,364,0.17582417582417584,0.276250696196311,1.7622118479777615,3.661647117682601,0.8376623376623377,False,False
300,2,364,0.17582417582417584,0.38614257161892074,1.239426399665106,1.6218795906186854,0.7817460317460317,False,False
300,3,364,0.17582417582417584,0.32328722002635046,1.5241208033054263,3.2243137634413976,0.6825396825396826,False,True
300,4,364,0.17582417582417584,0.3076923076923077,1.8165131219616242,2.574433445695256,0.7833333333333333,False,False
600,0,664,0.0963855421686747,0.3402011581834806,1.0231485151486486,1.9747004950273117,0.6256256256256256,False,False
600,1,664,0.0963855421686747,0.29658680669510995,0.9746464732298693,2.7883905572880163,0.7333333333333334,True,False
600,2,664,0.0963855421686747,0.4868653421633555,1.5141562259366557,1.3045195828454965,0.7490196078431373,False,False
600,3,664,0.0963855421686747,0.326044142614601,-0.6530511264350038,0.3276258146219677,0.6607843137254902,False,False
600,4,664,0.0963855421686747,0.5304043782304652,2.6505092323056525,2.6079869517936127,0.7666666666666666,False,False
1200,0,1264,0.05063291139240506,0.4964897745606767,1.1963359783614944,1.2298554801366768,0.7174975562072337,False,True
1200,1,1264,0.05063291139240506,0.29841670944051807,0.863037724927128,1.7296320724737906,0.5793650793650793,False,True
1200,2,1264,0.05063291139240506,0.49070738262709446,0.15370804409971117,1.6504773624292544,0.75,False,True
1200,3,1264,0.05063291139240506,0.40309079961748695,0.6273419029617687,2.0910038347574433,0.6468253968253969,False,False
1200,4,1264,0.05063291139240506,0.32766323024054983,1.060657815537197,1.9981307390020888,0.6744432661717922,False,False
